Symbol,Name,Sector
348210,넥스틴,기계·장비
225570,넥슨게임즈,IT 서비스
205500,넥써쓰,IT 서비스
217270,넵튠,IT 서비스
104620,노랑풍선,일반서비스
473980,노머스,오락·문화
194700,노바렉스,음식료·담배
285490,노바텍,기타제조
145170,노브랜드,섬유·의류
106520,노블엠앤비,의료·정밀기기
376930,노을,의료·정밀기기
142280,녹십자엠에스,제약
234690,녹십자웰빙,제약
054050,농우바이오,"농업, 임업 및 어업"
069140,누리플랜,금속
040160,누리플렉스,IT 서비스
332290,누보,화학
348340,뉴로메카,기계·장비
060260,뉴보텍,화학
123840,뉴온,기계·장비
012340,뉴인텍,운송장비·부품
270870,뉴트리,음식료·담배
144960,뉴파워프라즈마,기계·장비
085670,뉴프렉스,전기·전자
064260,다날,IT 서비스
340360,다보링크,전기·전자
039560,다산네트웍스,전기·전자
154040,다산솔루에타,전기·전자
032190,다우데이타,유통
323350,다원넥스뷰,의료·정밀기기
068240,다원시스,전기·전자
464580,닷밀,오락·문화
020400,대동금속,금속
008830,대동기어,기계·장비
048470,대동스틸,유통
004780,대륙제관,금속
017650,대림제지,종이·목재
007720,대명소노시즌,유통
389260,대명에너지,건설
317850,대모,기계·장비
290670,대보마그네틱,전기·전자
078140,대봉엘에스,제약
065150,대산F&B,유통
036480,대성미생물,제약
027830,대성창투,금융
104040,대성파인텍,운송장비·부품
129920,대성하이텍,기계·장비
442310,대신밸런스제14호스팩,금융
457390,대신밸런스제15호스팩,금융
457630,대신밸런스제16호스팩,금융
471050,대신밸런스제17호스팩,금융
478780,대신밸런스제18호스팩,금융
482690,대신밸런스제19호스팩,금융
020180,대신정보통신,IT 서비스
045390,대아티아이,전기·전자
108380,대양전기공업,운송장비·부품
007680,대원,건설
048910,대원미디어,유통
005710,대원산업,운송장비·부품
290380,대유,화학
120240,대정화금,화학
003310,대주산업,음식료·담배
078600,대주전자재료,전기·전자
393970,대진첨단소재,화학
096350,대창솔루션,금속
140520,대창스틸,금속
131220,대한과학,유통
010170,대한광통신,전기·전자
054670,대한뉴팜,제약
023910,대한약품,제약
021040,대호특수강,금속
021045,대호특수강우,금속
067080,대화제약,제약
298540,더네이쳐홀딩스,섬유·의류
032860,더라미,일반서비스
393890,더블유씨피,전기·전자
299170,더블유에스아이,유통
224060,더코디,기계·장비
043090,더테크놀로지,유통
213420,덕산네오룩스,전기·전자
317330,덕산테코피아,화학
077360,덕산하이메탈,전기·전자
090410,덕신이피씨,금속
263600,덕우전자,전기·전자
194480,데브시스터즈,IT 서비스
373160,데이원컴퍼니,일반서비스
263800,데이타솔루션,유통
206560,덱스터,오락·문화
261200,덴티스,의료·정밀기기
067990,도이치모터스,유통
006620,동구바이오제약,제약
100130,동국S&C,금속
005160,동국산업,금속
303810,동국생명과학,제약
075970,동국알앤에스,비금속
086450,동국제약,제약
240550,동방메디컬,의료·정밀기기
099410,동방선기,운송장비·부품
033500,동성화인텍,화학
025950,동신건설,건설
088130,동아엘텍,기계·장비
041930,동아화성,화학
060380,동양에스텍,금속
079960,동양이엔피,전기·전자
228340,동양파일,비금속
088910,동우팜투테이블,음식료·담배
094170,동운아나텍,전기·전자
013120,동원개발,건설
109860,동일금속,금속
032960,동일기연,전기·전자
023790,동일스틸럭스,금속
005290,동진쎄미켐,화학
025900,동화기업,종이·목재
131970,두산테스나,일반서비스
073190,듀오백,기타제조
176750,듀켐바이오,제약
030350,드래곤플라이,IT 서비스
203650,드림시큐리티,IT 서비스
223250,드림씨아이에스,일반서비스
060570,드림어스컴퍼니,오락·문화
362990,드림인사이트,일반서비스
016670,디모아,유통
187870,디바이스이엔지,기계·장비
489730,디비금융제13호스팩,금융
110990,디아이티,기계·장비
263690,디알젬,의료·정밀기기
214680,디알텍,의료·정밀기기
347850,디앤디파마텍,일반서비스
263720,디앤씨미디어,오락·문화
376300,디어유,IT 서비스
109740,디에스케이,기계·장비
031860,디에이치엑스컴퍼니,유통
196490,디에이테크놀로지,기계·장비
066900,디에이피,전기·전자
127120,디엔에이링크,일반서비스
092070,디엔에프,화학
039840,디오,의료·정밀기기
219550,디와이디,유통
310870,디와이씨,운송장비·부품
104460,디와이피엔에프,기계·장비
079810,디이엔티,기계·장비
113810,디젠스,운송장비·부품
043360,디지아이,전기·전자
197140,디지캡,IT 서비스
068930,디지털대성,일반서비스
033130,디지틀조선,IT 서비스
105740,디케이락,기계·장비
263020,디케이앤디,화학
290550,디케이티,전기·전자
066670,디티씨,전기·전자
187220,디티앤씨,일반서비스
383930,디티앤씨알오,일반서비스
131180,딜리,전기·전자
315640,딥노이드,IT 서비스
223310,딥마인드,유통
317120,라닉스,전기·전자
462510,라메디텍,의료·정밀기기
042510,라온시큐어,IT 서비스
232680,라온테크,기계·장비
418420,라온텍,전기·전자
300120,라온피플,IT 서비스
171120,라이온켐텍,화학
388790,라이콤,전기·전자
347700,라이프시맨틱스,IT 서비스
214260,라파스,화학
171010,램테크놀러지,화학
084650,랩지노믹스,일반서비스
217500,러셀,기계·장비
038390,레드캡투어,일반서비스
294140,레몬,화학
443250,레뷰코퍼레이션,일반서비스
228670,레이,의료·정밀기기
228850,레이언스,의료·정밀기기
412350,레이저쎌,기계·장비
199550,레이저옵텍,의료·정밀기기
281740,레이크머티리얼즈,화학
277810,레인보우로보틱스,기계·장비
215100,로보로보,전기·전자
090360,로보스타,기계·장비
108490,로보티즈,기계·장비
900260,로스웰,금융
067730,로지시스,IT 서비스
071280,로체시스템즈,기계·장비
328130,루닛,IT 서비스
038060,루멘스,전기·전자
474170,루미르,운송장비·부품
141080,리가켐바이오,일반서비스
058470,리노공업,전기·전자
016100,리더스코스메틱,종이·목재
012700,리드코프,유통
302550,리메드,의료·정밀기기
073570,리튬포어스,기타제조
377450,리파인,IT 서비스
277070,린드먼아시아,금융
042500,링네트,IT 서비스
193250,링크드,전기·전자
219420,링크제니시스,IT 서비스
439090,마녀공장,화학
195500,마니커에프앤지,음식료·담배
377480,마음AI,IT 서비스
305090,마이크로디지탈,의료·정밀기기
098120,마이크로컨텍솔,전기·전자
424980,마이크로투나노,전기·전자
038290,마크로젠,일반서비스
267980,매일유업,음식료·담배
005990,매일홀딩스,음식료·담배
093520,매커스,유통
100590,머큐리,전기·전자
067280,멀티캠퍼스,일반서비스
072870,메가스터디,오락·문화
215200,메가스터디교육,일반서비스
133750,메가엠디,일반서비스
446540,메가터치,전기·전자
235980,메드팩토,일반서비스
041920,메디아나,의료·정밀기기
014100,메디앙스,유통
054180,메디콕스,운송장비·부품
086900,메디톡스,제약
078160,메디포스트,제약
408920,메쎄이상,일반서비스
021880,메이슨캐피탈,금융
140410,메지온,일반서비스
241770,메카로,전기·전자
059210,메타바이오메드,제약
058110,멕아이씨에스,의료·정밀기기
434480,모니터랩,IT 서비스
080420,모다이노칩,유통
417970,모델솔루션,기계·장비
080160,모두투어,일반서비스
087260,모바일어플라이언스,IT 서비스
101330,모베이스,전기·전자
012860,모베이스전자,운송장비·부품
