Symbol,Name,Sector
002720,국제약품,제약
083420,그린케미칼,화학
014530,극동유화,화학
014280,금강공업,금속
014285,금강공업우,금속
008870,금비,비금속
001570,금양,화학
002990,금호건설,건설
002995,금호건설우,건설
011780,금호석유,화학
011785,금호석유우,화학
214330,금호에이치티,운송장비·부품
001210,금호전기,전기·전자
073240,금호타이어,화학
092440,기신정기,기계·장비
000270,기아,운송장비·부품
024110,기업은행,은행
013700,까뮤이앤씨,건설
004540,깨끗한나라,종이·목재
004545,깨끗한나라우,종이·목재
001260,남광토건,건설
008350,남선알미늄,금속
008355,남선알미우,금속
004270,남성,유통
003920,남양유업,음식료·담배
003925,남양유업우,음식료·담배
025860,남해화학,화학
005720,넥센,화학
005725,넥센우,화학
002350,넥센타이어,화학
002355,넥센타이어1우B,화학
092790,넥스틸,금속
251270,넷마블,IT 서비스
090350,노루페인트,화학
090355,노루페인트우,화학
000320,노루홀딩스,기타금융
000325,노루홀딩스우,기타금융
006280,녹십자,제약
005250,녹십자홀딩스,일반서비스
005257,녹십자홀딩스2우,일반서비스
004370,농심,음식료·담배
072710,농심홀딩스,기타금융
058730,다스코,금속
030210,다올투자증권,증권
023590,다우기술,IT 서비스
145210,다이나믹디자인,기계·장비
019680,대교,일반서비스
019685,대교우B,일반서비스
006370,대구백화점,유통
008060,대덕,기타금융
00806K,대덕1우,기타금융
353200,대덕전자,전기·전자
35320K,대덕전자1우,전기·전자
000490,대동,기계·장비
008110,대동전자,전기·전자
005750,대림B&Co,비금속
006570,대림통상,금속
001680,대상,음식료·담배
001685,대상우,음식료·담배
084690,대상홀딩스,기타금융
084695,대상홀딩스우,기타금융
128820,대성산업,유통
117580,대성에너지,전기·가스
016710,대성홀딩스,일반서비스
003540,대신증권,증권
003547,대신증권2우B,증권
003545,대신증권우,증권
009190,대양금속,금속
014160,대영포장,종이·목재
047040,대우건설,건설
003090,대웅,제약
069620,대웅제약,제약
000430,대원강업,운송장비·부품
006340,대원전선,전기·전자
006345,대원전선우,전기·전자
003220,대원제약,제약
024890,대원화성,화학
002880,대유에이텍,운송장비·부품
012800,대창,금속
015230,대창단조,운송장비·부품
001070,대한방직,섬유·의류
006650,대한유화,화학
001440,대한전선,전기·전자
084010,대한제강,금속
001790,대한제당,음식료·담배
001795,대한제당우,음식료·담배
001130,대한제분,음식료·담배
003490,대한항공,운송·창고
003495,대한항공우,운송·창고
005880,대한해운,운송·창고
003830,대한화섬,화학
016090,대현,섬유·의류
069460,대호에이엘,금속
475560,더본코리아,유통
192080,더블유게임즈,IT 서비스
012510,더존비즈온,IT 서비스
004830,덕성,화학
004835,덕성우,화학
024900,덕양산업,운송장비·부품
145720,덴티움,의료·정밀기기
002150,도화엔지니어링,일반서비스
460850,동국씨엠,금속
460860,동국제강,금속
001230,동국홀딩스,기타금융
023450,동남합성,화학
004140,동방,운송·창고
007590,동방아그로,화학
005960,동부건설,건설
005965,동부건설우,건설
026960,동서,유통
002210,동성제약,제약
102260,동성케미컬,일반서비스
000640,동아쏘시오홀딩스,기타금융
170900,동아에스티,제약
028100,동아지질,건설
001520,동양,비금속
001527,동양2우B,비금속
084670,동양고속,운송·창고
082640,동양생명,보험
001525,동양우,비금속
008970,동양철관,금속
092780,동양피스톤,운송장비·부품
049770,동원F&B,음식료·담배
018500,동원금속,운송장비·부품
006040,동원산업,기타금융
030720,동원수산,"농업, 임업 및 어업"
014820,동원시스템즈,화학
014825,동원시스템즈우,화학
111380,동인기연,섬유·의류
163560,동일고무벨트,화학
004890,동일산업,금속
002690,동일제강,금속
000020,동화약품,제약
000150,두산,기타금융
000157,두산2우B,기타금융
454910,두산로보틱스,기계·장비
241560,두산밥캣,기계·장비
034020,두산에너빌리티,기계·장비
000155,두산우,기타금융
336260,두산퓨얼셀,전기·전자
33626K,두산퓨얼셀1우,전기·전자
33626L,두산퓨얼셀2우B,전기·전자
016740,두올,운송장비·부품
192650,드림텍,전기·전자
024090,디씨엠,금속
003160,디아이,의료·정밀기기
092200,디아이씨,운송장비·부품
377190,디앤디플랫폼리츠,부동산
013570,디와이,기타금융
210540,디와이파워,기계·장비
032350,롯데관광개발,일반서비스
089860,롯데렌탈,일반서비스
330590,롯데리츠,부동산
000400,롯데손해보험,보험
023530,롯데쇼핑,유통
020150,롯데에너지머티리얼즈,전기·전자
280360,롯데웰푸드,음식료·담배
286940,롯데이노베이트,IT 서비스
004000,롯데정밀화학,화학
004990,롯데지주,기타금융
00499K,롯데지주우,기타금융
005300,롯데칠성,음식료·담배
005305,롯데칠성우,음식료·담배
011170,롯데케미칼,화학
071840,롯데하이마트,유통
027740,마니커,음식료·담배
357430,마스턴프리미어리츠,부동산
001080,만호제강,금속
088980,맥쿼리인프라,기타금융
094800,맵스리얼티1,기타금융
138040,메리츠금융지주,기타금융
090370,메타랩스,섬유·의류
118000,메타케어,유통
017180,명문제약,제약
009900,명신산업,운송장비·부품
012690,모나리자,종이·목재
005360,모나미,유통
070960,모나용평,일반서비스
009680,모토닉,운송장비·부품
009580,무림P&P,종이·목재
009200,무림페이퍼,종이·목재
033920,무학,음식료·담배
008420,문배철강,금속
025560,미래산업,의료·정밀기기
007120,미래아이앤지,IT 서비스
396690,미래에셋글로벌리츠,부동산
357250,미래에셋맵스리츠,부동산
085620,미래에셋생명,보험
006800,미래에셋증권,증권
00680K,미래에셋증권2우B,증권
006805,미래에셋증권우,증권
002840,미원상사,화학
268280,미원에스씨,화학
107590,미원홀딩스,기타금융
134380,미원화학,화학
003650,미창석유,화학
377740,바이오노트,제약
003610,방림,섬유·의류
001340,백광산업,화학
035150,백산,화학
002410,범양건영,건설
007210,벽산,비금속
002760,보락,화학
003850,보령,제약
000890,보해양조,음식료·담배
