concept_id,label_ko,label_en,report_date,value
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,20240101-20241231,69080893000000.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,20240101-20241231,53705579000000.0
concept_id,label_ko,label_en,20230101-20231231,"('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,20230101-20231231,44137427000000.0
ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,Cash flows from (used in) operations,20230101-20231231,46547889000000.0
ifrs-full_ProfitLoss,당기순이익,Profit,20230101-20231231,15487100000000.0
ifrs-full_AdjustmentsForReconcileProfitLoss,조정,Adjustments to reconcile profit (loss),20230101-20231231,36519534000000.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동,Adjustments for assets and liabilities of operating activities,20230101-20231231,-5458745000000.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,20230101-20231231,4786010000000.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,20230101-20231231,-844691000000.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,Dividends received,20230101-20231231,269169000000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,Income taxes paid,20230101-20231231,-6620950000000.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,20230101-20231231,-16922817000000.0
entity00126380_NetDecreaseIncreaseInShortTermFinancialInstrumentsOfCashFlowsFromUsedInInvestingActivities,단기금융상품의 순감소(증가),Net decrease (increase) in short-term financial instruments,20230101-20231231,39421565000000.0
entity00126380_NetDecreaseIncreaseInShortTermFinancialAssetsAtAmortizedCostOfCashFlowsFromUsedInInvestingActivities,단기상각후원가금융자산의 순감소(증가),Net decrease (increase) in short-term financial assets at amortized cost,20230101-20231231,-195616000000.0
entity00126380_NetDecreaseIncreaseInShortTermFinancialAssetsAtFairValueThroughProfitOrLossOfCashFlowsFromUsedInInvestingActivities,단기당기손익-공정가치금융자산의 순감소(증가),Net decrease (increase) in short-term financial assets at fair value through profit or loss,20230101-20231231,2718000000.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Disposal of long-term financial instruments,20230101-20231231,4565426000000.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Acquisition of long-term financial instruments,20230101-20231231,-5307770000000.0
dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산의 처분,Disposal of financial assets at fair value through other comprehensive income,20230101-20231231,6521568000000.0
